time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_transit_walk	arrivals_transit_walk	stuck_transit_walk	en-route_transit_walk
00:00:00	0	68	3	0	65	0	0	0	0	68	3	0	65
00:05:00	300	9	2	0	72	0	0	0	0	9	2	0	72
00:10:00	600	9	7	0	74	1	0	0	1	8	7	0	73
00:15:00	900	6	3	0	77	0	1	0	0	6	2	0	77
00:20:00	1200	4	5	0	76	1	0	0	1	3	5	0	75
00:25:00	1500	5	6	0	75	1	0	0	2	4	6	0	73
00:30:00	1800	2	3	0	74	0	0	0	2	2	3	0	72
00:35:00	2100	2	4	0	72	0	1	0	1	2	3	0	71
00:40:00	2400	0	3	0	69	0	0	0	1	0	3	0	68
00:45:00	2700	1	2	0	68	0	0	0	1	1	2	0	67
00:50:00	3000	1	2	0	67	0	0	0	1	1	2	0	66
00:55:00	3300	1	3	0	65	0	0	0	1	1	3	0	64
01:00:00	3600	0	4	0	61	0	0	0	1	0	4	0	60
01:05:00	3900	0	1	0	60	0	0	0	1	0	1	0	59
01:10:00	4200	1	5	0	56	0	0	0	1	1	5	0	55
01:15:00	4500	0	2	0	54	0	0	0	1	0	2	0	53
01:20:00	4800	0	3	0	51	0	0	0	1	0	3	0	50
01:25:00	5100	2	6	0	47	0	0	0	1	2	6	0	46
01:30:00	5400	2	2	0	47	0	0	0	1	2	2	0	46
01:35:00	5700	0	2	0	45	0	0	0	1	0	2	0	44
01:40:00	6000	0	4	0	41	0	0	0	1	0	4	0	40
01:45:00	6300	0	0	0	41	0	0	0	1	0	0	0	40
01:50:00	6600	0	2	0	39	0	0	0	1	0	2	0	38
01:55:00	6900	0	0	0	39	0	0	0	1	0	0	0	38
02:00:00	7200	0	0	0	39	0	0	0	1	0	0	0	38
02:05:00	7500	0	1	0	38	0	0	0	1	0	1	0	37
02:10:00	7800	0	2	0	36	0	0	0	1	0	2	0	35
02:15:00	8100	0	1	0	35	0	0	0	1	0	1	0	34
02:20:00	8400	0	0	0	35	0	0	0	1	0	0	0	34
02:25:00	8700	0	0	0	35	0	0	0	1	0	0	0	34
